,z,RADeg,decDeg,comoving_pos_x_Mpc,comoving_pos_y_Mpc,comoving_pos_z_Mpc,pec_vel_x_km_s,pec_vel_y_km_s,pec_vel_z_km_s,Mfof,Mvir,Mgas_vir,Rvir,int_tSZ_in_Rvir,int_kSZ_in_Rvir,int_SZ_in_Rvir_148GHz,int_SZ_in_Rvir_219GHz,int_SZ_in_Rvir_277GHz,int_SZ_in_Rvir_30GHz,int_SZ_in_Rvir_90GHz,int_SZ_in_Rvir_350GHz,M200,Mgas_200,R200,int_tSZ_in_R200,int_kSZ_in_R200,int_SZ_in_R200_148GHz,int_SZ_in_R200_219GHz,int_SZ_in_R200_277GHz,int_SZ_in_R200_30GHz,int_SZ_in_R200_90GHz,int_SZ_in_R200_350GHz,M500,Mgas_500,R500,int_tSZ_in_R500,int_kSZ_in_R500,int_SZ_in_R500_148GHz,int_SZ_in_R500_219GHz,int_SZ_in_R500_277GHz,int_SZ_in_R500_30GHz,int_SZ_in_R500_90GHz,int_SZ_in_R500_350GHz,Mstar,rho_gas_c,T_c,P_c,Phi_c
0,0.0646,26.94058,6.590970999999994,238.8153,121.3707,30.95284,-156.6948,160.4268,-107.8925,35177750000000.0,29891470000000.0,1961440000000.0,0.7822924,3.382484e-05,9.790162e-06,-2.324265e-05,1.037898e-05,4.156524e-05,-5.619668e-05,-4.413797e-05,8.325334e-05,22490690000000.0,1289396000000.0,0.5700802,2.58806e-05,7.022768e-06,-1.824578e-05,7.467284e-06,3.131553e-05,-4.345965e-05,-3.423131e-05,6.320229e-05,14705450000000.0,647418000000.0,0.3636568,1.620112e-05,4.019484e-06,-1.179278e-05,4.29201e-06,1.920808e-05,-2.757616e-05,-2.179754e-05,3.915927e-05,1064435000000.0,18760000000000.0,0.855326,2730000000000.0,-0.655677
1,0.0652,26.08804,5.084248000000005,243.3344,119.1453,24.10547,-134.1524,4.729263,-116.4426,29891470000000.0,26623600000000.0,1804283000000.0,0.7584575,2.75314e-05,1.380152e-05,-1.310337e-05,1.426531e-05,3.966523e-05,-3.99079e-05,-3.010223e-05,7.363147e-05,22875150000000.0,1341813000000.0,0.5746502,2.318751e-05,1.089378e-05,-1.17614e-05,1.127966e-05,3.266145e-05,-3.433649e-05,-2.607651e-05,6.126051e-05,17300530000000.0,853415100000.0,0.3924437,1.749674e-05,7.515801e-06,-9.573979e-06,7.801581e-06,2.392379e-05,-2.660838e-05,-2.037392e-05,4.549489e-05,924903800000.0,31920000000000.0,0.8529184,4632000000000.0,-0.6876132
3,0.0999,27.19897,6.772505999999997,365.0339,187.5937,48.7394,281.3524,-183.998,-20.49625,86598770000000.0,75257310000000.0,8249088000000.0,1.045659,0.0001024677,-3.265856e-05,-0.0001320604,-3.089231e-05,6.259202e-05,-0.0002321575,-0.0001953809,0.000187698,63723630000000.0,6508241000000.0,0.7997068,9.067664e-05,-2.720019e-05,-0.0001151329,-2.566893e-05,5.698878e-05,-0.0002037098,-0.0001711556,0.0001676462,47480350000000.0,4276659000000.0,0.5304954,7.134091e-05,-1.944046e-05,-8.857994e-05,-1.827998e-05,4.665576e-05,-0.0001582664,-0.0001326404,0.0001336439,2003350000000.0,99580000000000.0,1.763051,29870000000000.0,-1.531312
7,0.1215,26.80449,5.467385999999998,444.8339,224.7456,47.70273,86.55482,-152.3886,-348.9901,181751700000000.0,100439200000000.0,10400300000000.0,1.134962,0.0001140904,4.696228e-06,-0.0001061451,6.238657e-06,0.0001102303,-0.0002173627,-0.0001764842,0.0002498301,85445400000000.0,8079780000000.0,0.8709524,9.892614e-05,3.821134e-06,-9.224656e-05,5.11649e-06,9.519372e-05,-0.0001886792,-0.0001532212,0.0002161678,60840200000000.0,5034851000000.0,0.5727205,7.451536e-05,2.601165e-06,-6.970624e-05,3.520471e-06,7.124708e-05,-0.0001423402,-0.0001156143,0.0001622751,2495914000000.0,80090000000000.0,2.059994,28070000000000.0,-1.905227
9,0.1207,26.30574,4.830328000000004,444.2004,219.5929,41.8737,17.52635,66.08699,-98.65734,224138000000000.0,207990800000000.0,24012300000000.0,1.449271,0.000376404,-1.504061e-05,-0.0003788681,-1.119174e-05,0.0003282816,-0.0007459002,-0.0006104532,0.0007856321,178291600000000.0,18744980000000.0,1.112076,0.0003335369,-1.266311e-05,-0.0003348962,-9.422594e-06,0.0002910256,-0.0006601226,-0.0005400468,0.0006960111,114279600000000.0,10875390000000.0,0.7074144,0.0002454393,-8.516923e-06,-0.000245403,-6.382846e-06,0.0002141725,-0.0004847177,-0.0003962776,0.0005117764,4374047000000.0,64720000000000.0,2.928822,32250000000000.0,-2.50074
11,0.1383,25.94797,6.309456000000001,507.5896,246.9977,62.41517,240.1947,-219.6364,24.15792,50940460000000.0,40656250000000.0,3616872000000.0,0.8331351,2.018384e-05,-6.872842e-06,-2.650983e-05,-6.488222e-06,1.203751e-05,-4.622033e-05,-3.899516e-05,3.677924e-05,32582670000000.0,2510324000000.0,0.6293961,1.622657e-05,-5.226698e-06,-2.100944e-05,-4.921689e-06,9.962539e-06,-3.685513e-05,-3.104531e-05,2.98463e-05,22202350000000.0,1346725000000.0,0.4093253,1.086359e-05,-3.213558e-06,-1.377535e-05,-3.014081e-06,6.940394e-06,-2.43836e-05,-2.049255e-05,2.024454e-05,1311164000000.0,49080000000000.0,1.219116,10180000000000.0,-0.978021
13,0.1386,26.57557,6.154895000000003,506.035,253.1336,61.01667,287.1495,-216.7091,98.20342,47576460000000.0,39118420000000.0,2898934000000.0,0.8301053,1.574955e-05,-7.885278e-06,-2.320512e-05,-7.569485e-06,6.893143e-06,-3.859559e-05,-3.295479e-05,2.619215e-05,30564270000000.0,1914474000000.0,0.6155664,1.232647e-05,-5.846309e-06,-1.783348e-05,-5.602056e-06,5.710678e-06,-2.987858e-05,-2.546296e-05,2.081016e-05,18069440000000.0,861329700000.0,0.379891,7.532626e-06,-3.287661e-06,-1.060994e-05,-3.141368e-06,3.765152e-06,-1.797033e-05,-1.527112e-05,1.298731e-05,1379316000000.0,14350000000000.0,0.9608995,2346000000000.0,-0.710919
15,0.1422,26.69199,7.109605000000006,517.3367,260.1027,72.22219,215.269,-259.8651,-188.6502,34697180000000.0,27104170000000.0,2075191000000.0,0.726763,9.131668e-06,-1.651898e-06,-1.055542e-05,-1.477729e-06,6.930976e-06,-1.946817e-05,-1.620481e-05,1.815776e-05,23163490000000.0,1486376000000.0,0.560853,7.345667e-06,-1.259116e-06,-8.419665e-06,-1.120487e-06,5.640217e-06,-1.558899e-05,-1.29635e-05,1.466859e-05,15762710000000.0,786632800000.0,0.3629514,4.813678e-06,-7.558685e-07,-5.446428e-06,-6.6673e-07,3.759723e-06,-1.014432e-05,-8.423343e-06,9.673075e-06,960300600000.0,27600000000000.0,0.9035782,4243000000000.0,-0.701811
18,0.1529,26.1421,5.797048000000002,558.7923,274.2589,63.19563,-134.9504,-116.8784,177.6648,66607050000000.0,54016110000000.0,5468639000000.0,0.9070712,2.843765e-05,1.020335e-05,-1.753172e-05,1.060248e-05,3.669309e-05,-4.521048e-05,-3.506317e-05,7.168124e-05,45846410000000.0,4274869000000.0,0.702911,2.47852e-05,8.385741e-06,-1.578005e-05,8.726385e-06,3.145001e-05,-3.990351e-05,-3.105725e-05,6.193217e-05,36427230000000.0,2793259000000.0,0.4780639,1.921841e-05,5.938703e-06,-1.279021e-05,6.193354e-06,2.379232e-05,-3.149514e-05,-2.46328e-05,4.741219e-05,1541079000000.0,62190000000000.0,1.389308,14700000000000.0,-1.181506
21,0.1836,25.49922,5.902575999999997,670.1411,319.6297,76.75989,203.0966,56.22301,-62.68631,101977000000000.0,84195920000000.0,9379138000000.0,1.037085,4.525551e-05,-1.653339e-05,-6.038873e-05,-1.574831e-05,2.547986e-05,-0.0001046089,-8.835398e-05,8.065543e-05,70739950000000.0,7365673000000.0,0.8042682,3.990027e-05,-1.380152e-05,-5.245437e-05,-1.312308e-05,2.319687e-05,-9.144135e-05,-7.71056e-05,7.182113e-05,51901600000000.0,4648389000000.0,0.5327093,3.041708e-05,-9.593366e-06,-3.904088e-05,-9.095976e-06,1.854917e-05,-6.876101e-05,-5.782626e-05,5.55848e-05,2194146000000.0,77530000000000.0,1.804301,23800000000000.0,-1.55628
