# RADeg decDeg z fluxmJy_1.4GHz fluxmJy_30GHz fluxmJy_90GHz fluxmJy_148GHz fluxmJy_219GHz fluxmJy_277GHz fluxmJy_350GHz
26.827027 3.961328999999996 0.03264 1.70551e+01 9.02508e-01 3.65432e-01 2.45454e-01 1.79400e-01 1.48660e-01 1.23289e-01
24.296669 4.070481999999998 0.06339 2.01631e+01 1.77075e+00 7.24791e-01 4.83978e-01 3.52775e-01 2.92059e-01 2.42085e-01
25.211364 7.565760999999994 0.06294 2.38614e+00 3.95913e-01 3.18991e-01 2.51918e-01 1.85869e-01 1.46179e-01 1.10053e-01
26.976861 6.537250999999996 0.06463 3.10366e+00 2.66765e-01 1.08956e-01 7.30727e-02 5.33915e-02 4.42405e-02 3.66894e-02
27.534667 4.335601999999999 0.06441 9.45376e+00 8.14258e-01 3.38103e-01 2.27109e-01 1.65992e-01 1.37550e-01 1.14075e-01
26.037395 5.033661999999994 0.06520 6.94108e+00 5.96249e-01 2.47547e-01 1.66281e-01 1.21533e-01 1.00709e-01 8.35212e-02
24.396149 4.410929999999993 0.07876 1.14040e+01 1.03483e+00 4.08301e-01 2.72285e-01 1.98760e-01 1.64675e-01 1.36564e-01
27.323606 4.616306000000004 0.07981 1.31345e+00 1.36100e-01 5.53522e-02 3.50149e-02 2.43695e-02 1.97141e-02 1.60539e-02
27.312961 4.565949999999999 0.07981 5.34470e+00 4.76930e-01 1.93367e-01 1.28680e-01 9.37738e-02 7.76549e-02 6.43850e-02
27.546939 5.695641000000005 0.10160 7.41724e+00 6.29550e-01 2.59033e-01 1.73935e-01 1.27123e-01 1.05340e-01 8.73619e-02
25.498401 4.750012000000006 0.11970 1.10248e+00 9.34228e-02 3.85148e-02 2.58649e-02 1.89040e-02 1.56648e-02 1.29913e-02
27.245112 4.767988999999996 0.12000 5.30589e-01 4.53651e-02 1.88252e-02 1.26451e-02 9.24220e-03 7.65856e-03 6.35150e-03
27.356013 5.0123640000000025 0.12010 5.83477e+00 5.19971e-01 2.11777e-01 1.40769e-01 1.02460e-01 8.48082e-02 7.02973e-02
26.815968 5.427972000000002 0.12150 1.44553e+01 1.25344e+00 5.20263e-01 3.48574e-01 2.54293e-01 2.10549e-01 1.74519e-01
25.911659 4.501240999999996 0.12020 2.27290e+00 1.95732e-01 8.11225e-02 5.44783e-02 3.98155e-02 3.29928e-02 2.73619e-02
28.00211 6.317594999999995 0.12060 9.42863e+00 8.22235e-01 3.41188e-01 2.28001e-01 1.66057e-01 1.37409e-01 1.13857e-01
28.046244000000005 6.789413999999996 0.12050 1.52406e+01 1.30229e+00 5.40731e-01 3.63217e-01 2.65473e-01 2.19984e-01 1.82440e-01
26.880235 7.569058000000003 0.13010 4.36927e+00 3.85859e-01 1.56487e-01 1.04696e-01 7.64591e-02 6.33497e-02 5.25360e-02
26.821287 7.566082000000003 0.13010 3.93378e+00 3.47724e-01 1.36466e-01 9.10051e-02 6.64097e-02 5.50145e-02 4.56205e-02
27.030290000000004 7.623873000000006 0.12860 2.04945e+00 1.76473e-01 7.14099e-02 4.78178e-02 3.49237e-02 2.89351e-02 2.39954e-02
25.587421 4.080219000000001 0.13450 1.62034e+00 1.39123e-01 5.75986e-02 3.86884e-02 2.82770e-02 2.34318e-02 1.94328e-02
27.374403 6.997646000000002 0.13140 5.58979e+00 4.87251e-01 1.94857e-01 1.30757e-01 9.55637e-02 7.91886e-02 6.56737e-02
26.86936 7.953070999999995 0.13210 7.61876e-01 6.56279e-02 2.72337e-02 1.82928e-02 1.33700e-02 1.10791e-02 9.18825e-03
24.412398 5.876052999999994 0.13770 1.05088e+00 1.41908e-01 8.80958e-02 5.97286e-02 3.91491e-02 2.90812e-02 2.11685e-02
24.637415 7.5714840000000025 0.13700 7.64625e-01 6.56988e-02 2.72725e-02 1.83193e-02 1.33894e-02 1.10952e-02 9.20159e-03
25.982709 6.295445999999998 0.13830 1.56022e+00 1.34225e-01 5.52084e-02 3.70789e-02 2.71006e-02 2.24569e-02 1.86243e-02
24.295664 5.686420999999998 0.13770 5.62703e-01 4.85847e-02 2.01097e-02 1.35056e-02 9.87101e-03 8.17961e-03 6.78362e-03
24.255984 5.6764730000000005 0.13770 1.34629e+00 1.16789e-01 4.81500e-02 3.23083e-02 2.36088e-02 1.95628e-02 1.62239e-02
24.529104 6.111580999999994 0.13830 1.74484e+00 1.50314e-01 6.22027e-02 4.17746e-02 3.05320e-02 2.53003e-02 2.09824e-02
26.585251 6.156462000000004 0.13860 5.36284e-01 5.03493e-02 2.65428e-02 2.05577e-02 1.63921e-02 1.39941e-02 1.16968e-02
24.698163 6.341115999999998 0.13810 3.20305e+00 2.73578e-01 1.13382e-01 7.61585e-02 5.56637e-02 4.61257e-02 3.82536e-02
24.126074 6.483299999999999 0.14070 4.98412e+00 1.23173e+00 1.40438e+00 1.27931e+00 1.04897e+00 8.74513e-01 6.93048e-01
24.18814 5.100101000000006 0.14340 8.65094e-01 7.39639e-02 3.07096e-02 2.06280e-02 1.50769e-02 1.24935e-02 1.03613e-02
