# RADeg decDeg z fluxmJy_1.4GHz fluxmJy_30GHz fluxmJy_90GHz fluxmJy_148GHz fluxmJy_219GHz fluxmJy_277GHz fluxmJy_350GHz
7.191731 6.569081000000003 0.04680 6.43270e+00 1.02608e+00 2.22077e+00 3.52781e+00 4.80720e+00 5.57396e+00 6.24256e+00
7.427777999999999 6.423964999999999 0.09663 7.31885e+00 8.37742e-01 2.89629e-01 1.77416e-01 1.23930e-01 1.01115e-01 8.31038e-02
7.394055 7.436292000000003 0.09989 2.67508e+00 3.16113e-01 1.08399e-01 6.58793e-02 4.59203e-02 3.74690e-02 3.08095e-02
4.697796 6.1014729999999995 0.10450 7.39626e+00 6.27706e-01 2.60596e-01 1.75046e-01 1.27940e-01 1.06018e-01 8.79241e-02
5.654486 6.999503000000004 0.10350 4.34948e+00 3.74803e-01 1.55050e-01 1.04142e-01 7.61163e-02 6.30738e-02 5.23092e-02
5.631977 6.954141 0.10350 7.26542e-01 6.24130e-02 2.57470e-02 1.72925e-02 1.26389e-02 1.04732e-02 8.68581e-03
6.663622 4.781380999999998 0.12210 5.33042e-01 4.60031e-02 1.88533e-02 1.26553e-02 9.24895e-03 7.66408e-03 6.35607e-03
4.695990000000001 6.523852000000004 0.12300 2.68674e+00 2.23823e-01 9.24933e-02 6.21257e-02 4.54071e-02 3.76267e-02 3.12051e-02
6.417338 5.981460000000006 0.12910 3.70208e+00 3.16448e-01 1.30996e-01 8.79865e-02 6.43085e-02 5.32893e-02 4.41946e-02
6.100843 5.9905559999999936 0.12840 7.97606e-01 6.82596e-02 2.82986e-02 1.90083e-02 1.38930e-02 1.15125e-02 9.54769e-03
6.407268 6.290167000000002 0.15820 1.14885e+00 9.75186e-02 4.04159e-02 2.71475e-02 1.98419e-02 1.64420e-02 1.36359e-02
6.176877 6.1064840000000045 0.15720 2.88535e+01 2.49540e+00 1.03067e+00 6.92149e-01 5.05877e-01 4.19195e-01 3.47652e-01
