# ells, tt, ee, bb, te
1.015000000000000000e+02 3.626472565571871698e+00 -1.049863090573761409e-04 4.211362451766725444e-04 -1.084247342492283828e-02
3.015000000000000000e+02 -6.742943485381708291e-02 6.940261176436262171e-04 -6.254311632418231581e-05 5.561144207589496444e-03
5.015000000000000000e+02 8.310653408074920867e-02 3.719954846486560242e-04 1.432565916846343716e-05 -1.250509679163488378e-03
7.015000000000000000e+02 1.946604039691799889e-02 3.579023885622848356e-04 -1.076625799043514922e-06 -6.582788508387344166e-04
9.015000000000000000e+02 1.477270954084602440e-02 1.819323683070049765e-04 7.644666132272179228e-07 1.451517657543119123e-05
1.101500000000000000e+03 4.643796146644106962e-03 1.320775219431543355e-04 5.662832178352868061e-07 -2.290559144414340954e-04
1.301500000000000000e+03 2.932467324303765933e-03 8.245880084678831466e-05 2.517799146648135032e-07 -8.561538781755604960e-05
1.501500000000000000e+03 1.682616835961454850e-03 3.989426790761377864e-05 2.058357388447570692e-07 -4.663292283382245086e-05
1.701500000000000000e+03 7.364580929599164050e-04 2.996875978080216509e-05 1.332559867337156233e-07 -3.876004833545978854e-05
1.901500000000000000e+03 4.415340663222677643e-04 1.481643041946298021e-05 8.341719579583689063e-08 -1.719372466667299873e-05
2.101500000000000000e+03 2.564387829210124721e-04 8.094460395898534852e-06 5.919162222213815262e-08 -1.304095860556944567e-05
2.301500000000000000e+03 1.249578573591840036e-04 5.411662922219924659e-06 3.906103901073437975e-08 -6.321684604393149096e-06
2.501500000000000000e+03 7.490879438757845849e-05 2.519007648282550015e-06 2.725750932548092063e-08 -3.661932191194632530e-06
2.701500000000000000e+03 4.281714105860546344e-05 1.528238856631150465e-06 1.914932932669047374e-08 -2.503897244955894921e-06
2.901500000000000000e+03 2.257390540393115877e-05 8.862420851102781507e-07 1.357735484854222110e-08 -1.078191949678797829e-06
3.101500000000000000e+03 1.332876591323804812e-05 4.515575005319042244e-07 9.877237052128110718e-09 -7.094701674923293606e-07
3.301500000000000000e+03 7.693487446424877337e-06 2.711469606938626822e-07 7.251479560877513281e-09 -4.192133817382016433e-07
3.501500000000000000e+03 4.335509729830598250e-06 1.505348199699246922e-07 5.446359137806657083e-09 -1.977589288249078323e-07
3.701500000000000000e+03 2.588459319037836747e-06 8.473180901157431079e-08 4.181340044862630582e-09 -1.271475405570595759e-07
3.901500000000000000e+03 1.586788482498909535e-06 4.958272740469604709e-08 3.281602143572289015e-09 -7.151012908274523367e-08
4.101500000000000000e+03 9.826059524252746118e-07 2.886300692660285873e-08 2.633136259233735196e-09 -3.873690600252327263e-08
4.301500000000000000e+03 6.314699600817900206e-07 1.745223390516359869e-08 2.146218556399135818e-09 -2.392620840744355570e-08
