# ells, tt, ee, bb, te
1.015000000000000000e+02 1.656029842457720633e+03 -2.547005587317459074e+00 2.509818190786151870e+00 -2.874253126197973174e+01
3.015000000000000000e+02 4.825863527674779107e+03 1.094192250376557674e+01 -8.761039242231900559e-01 7.069055819004009322e+01
5.015000000000000000e+02 1.582702473824931076e+03 1.427289640183682629e+01 3.478825839945098308e-01 -2.880014479473219779e+01
7.015000000000000000e+02 2.168753042646546419e+03 2.791301023383705271e+01 3.325327158819278012e-02 -6.551010244550920447e+01
9.015000000000000000e+02 1.790738978670965480e+03 2.514163991352175387e+01 6.631627898807990196e-02 5.665510392906955239e+00
1.101500000000000000e+03 1.000571976103000907e+03 2.470659707828140128e+01 1.168110323219311159e-01 -4.323563974833831480e+01
1.301500000000000000e+03 7.878367064429264701e+02 2.288974750908360889e+01 7.090643239453603419e-02 -2.584308464674032635e+01
1.501500000000000000e+03 6.173515549885602240e+02 1.459544681806318955e+01 7.379189114413080286e-02 -1.541437614587091431e+01
1.701500000000000000e+03 3.493189595406805097e+02 1.368107879213816958e+01 6.250189594361381384e-02 -1.837697776470392697e+01
1.901500000000000000e+03 2.559055335433065750e+02 8.773452880684116550e+00 4.855857102113882162e-02 -1.016617783097585459e+01
2.101500000000000000e+03 1.826224221485426540e+02 5.694130483220170902e+00 4.182731383971440009e-02 -8.986687248938492800e+00
2.301500000000000000e+03 1.067833440857548055e+02 4.582189774446106867e+00 3.319846750137556840e-02 -5.507200742995574494e+00
2.501500000000000000e+03 7.492069476796861238e+01 2.552197920077013293e+00 2.726807947653479142e-02 -3.644068358906639382e+00
2.701500000000000000e+03 5.016755999445859260e+01 1.774624049075842258e+00 2.234740413785581484e-02 -2.910965371212349329e+00
2.901500000000000000e+03 3.048134178847901410e+01 1.198300789176107939e+00 1.826967090664901455e-02 -1.474118247123339165e+00
3.101500000000000000e+03 2.055223002237699959e+01 6.964624261935322691e-01 1.517838045293819216e-02 -1.083467787596510634e+00
3.301500000000000000e+03 1.349344658675663311e+01 4.718983708393641452e-01 1.262687978346599231e-02 -7.327845357898306045e-01
