,RADeg,decDeg,z,fluxmJy_1.4GHz,fluxmJy_30GHz,fluxmJy_90GHz,fluxmJy_148GHz,fluxmJy_219GHz,fluxmJy_277GHz,fluxmJy_350GHz
0,7.191731,6.569081000000003,0.0468,6.4327,1.02608,2.22077,3.52781,4.8072,5.57396,6.24256
4,5.654486,6.999503000000004,0.1035,4.34948,0.374803,0.15505,0.104142,0.0761163,0.0630738,0.0523092
5,5.631977,6.954141,0.1035,0.726542,0.062413,0.025747,0.0172925,0.0126389,0.0104732,0.00868581
8,6.417338,5.981460000000006,0.1291,3.70208,0.316448,0.130996,0.0879865,0.0643085,0.0532893,0.0441946
9,6.100843,5.9905559999999936,0.1284,0.797606,0.0682596,0.0282986,0.0190083,0.013893,0.0115125,0.00954769
10,6.407268,6.290167000000002,0.1582,1.14885,0.0975186,0.0404159,0.0271475,0.0198419,0.016442,0.0136359
11,6.176877,6.1064840000000045,0.1572,28.8535,2.4954,1.03067,0.692149,0.505877,0.419195,0.347652
12,6.441519,6.318105000000002,0.1608,1.87047,0.161377,0.0667381,0.0448215,0.0327593,0.027146,0.0225131
16,6.955723,7.1023659999999955,0.1735,2.48633,0.213006,0.087298,0.0585869,0.0428148,0.0354779,0.0294228
19,6.066909000000001,5.980324999999997,0.1878,0.645974,0.0972103,0.0477713,0.0297388,0.0190881,0.014344,0.0107381
20,5.976516,5.984089999999999,0.1878,0.254654,0.0217254,0.00900877,0.00605128,0.00442284,0.00366499,0.0030395
21,7.166151000000001,5.218763,0.1881,0.628532,0.0542717,0.0224455,0.0150748,0.011018,0.00913005,0.00757186
22,6.277922,6.867153999999998,0.1885,0.49311,0.0428157,0.0176464,0.0118256,0.00863508,0.0071534,0.00593161
23,5.457509,5.9902739999999985,0.1877,2.63013,0.246174,0.102624,0.0670552,0.0478058,0.0391134,0.0321194
24,5.508396,5.967801999999996,0.1877,0.424765,0.0366216,0.0151647,0.0101857,0.00744465,0.00616901,0.00511617
26,5.018505,6.222174999999995,0.1904,0.29083,0.0267532,0.0104514,0.00694666,0.00506659,0.00419708,0.00348044
