# ells, tt
1.015000000000000000e+02 1.108715591658548461e-03
3.015000000000000000e+02 -1.749946403502065473e-04
5.015000000000000000e+02 2.711007771030712196e-05
7.015000000000000000e+02 -4.658685610115916530e-06
9.015000000000000000e+02 6.735220809682743183e-07
1.101500000000000000e+03 -8.009925070458224339e-08
1.301500000000000000e+03 4.016390099124694654e-08
1.501500000000000000e+03 7.028371075901378599e-08
1.701500000000000000e+03 6.113020101959958140e-08
1.901500000000000000e+03 8.075154465058785609e-08
2.101500000000000000e+03 3.481841884336169014e-08
2.301500000000000000e+03 5.939131803029566963e-08
2.501500000000000000e+03 4.170141021742527335e-08
2.701500000000000000e+03 4.737470767376318110e-08
2.901500000000000000e+03 3.637430521810347968e-08
3.101500000000000000e+03 4.343168796115363425e-08
3.301500000000000000e+03 3.828056031382723807e-08
3.501500000000000000e+03 4.733837580920296744e-08
3.701500000000000000e+03 4.985875617088643372e-08
3.901500000000000000e+03 4.987332216708713800e-08
4.101500000000000000e+03 4.479104486769981133e-08
4.301500000000000000e+03 3.649898849586428166e-08
4.501500000000000000e+03 4.083261448968121662e-08
4.701500000000000000e+03 4.110296210348040248e-08
4.901500000000000000e+03 4.516293508110660219e-08
5.101500000000000000e+03 3.193638817946241257e-08
5.301500000000000000e+03 3.155015595754346420e-08
5.501500000000000000e+03 4.046140594332687625e-08
5.701500000000000000e+03 4.224805571911243992e-08
5.901500000000000000e+03 3.650918928090813744e-08
6.101500000000000000e+03 4.072419680446995609e-08
6.301500000000000000e+03 3.706617364381766114e-08
6.501500000000000000e+03 3.653962462619526589e-08
6.701500000000000000e+03 3.602677580892281077e-08
6.901500000000000000e+03 2.884328945128262234e-08
7.101500000000000000e+03 3.067514791758759447e-08
7.301500000000000000e+03 3.644651906893093005e-08
7.501500000000000000e+03 2.599413229140161157e-08
7.701500000000000000e+03 3.477296613938681420e-08
7.901500000000000000e+03 3.122598480561373032e-08
8.101500000000000000e+03 3.701821681226504101e-08
8.301500000000000000e+03 3.651618754845373832e-08
8.501500000000000000e+03 3.447498003796830769e-08
8.701500000000000000e+03 3.104964816709632402e-08
8.901500000000000000e+03 3.364888775573804822e-08
9.101500000000000000e+03 3.058593637922291671e-08
9.301500000000000000e+03 3.285506177100922724e-08
9.501500000000000000e+03 3.245804258306122261e-08
9.701500000000000000e+03 3.345884704783720766e-08
9.901500000000000000e+03 3.118493751062141853e-08
1.010150000000000000e+04 3.434287462635114364e-08
1.030150000000000000e+04 3.043016257877186945e-08
1.050150000000000000e+04 3.520142510024599048e-08
1.070150000000000000e+04 3.048580041940835217e-08
1.090150000000000000e+04 2.988993127217775817e-08
1.110150000000000000e+04 3.102720027763709255e-08
1.130150000000000000e+04 3.506843365426924145e-08
1.150150000000000000e+04 2.753262146087799916e-08
1.170150000000000000e+04 3.010193220006877714e-08
1.190150000000000000e+04 3.618644771181444468e-08
1.210150000000000000e+04 2.603119438227397514e-08
1.230150000000000000e+04 3.456593757167454980e-08
1.250150000000000000e+04 2.944041066691503318e-08
1.270150000000000000e+04 2.873826673950972573e-08
1.290150000000000000e+04 3.406260690146192670e-08
1.310150000000000000e+04 3.308260114101998194e-08
1.330150000000000000e+04 3.082556948509910323e-08
1.350150000000000000e+04 2.744824902087190956e-08
1.370150000000000000e+04 3.309810010134529689e-08
1.390150000000000000e+04 2.962803983547163395e-08
1.410150000000000000e+04 2.677955415697985745e-08
1.430150000000000000e+04 2.373055325969859002e-08
1.450150000000000000e+04 2.824715793793426181e-08
1.470150000000000000e+04 2.608925899554834826e-08
1.490150000000000000e+04 3.049673765255106302e-08
1.510150000000000000e+04 2.600927781232261286e-08
1.530150000000000000e+04 2.946150522958148796e-08
1.550150000000000000e+04 2.728595210411338049e-08
1.570150000000000000e+04 2.984970219663843094e-08
1.590150000000000000e+04 2.772736064779989549e-08
1.610150000000000000e+04 2.846669174239408377e-08
1.630150000000000000e+04 2.539418040086892698e-08
1.650150000000000000e+04 2.651782816904751801e-08
1.670150000000000000e+04 3.305711829191525495e-08
1.690150000000000000e+04 2.954932321446032071e-08
1.710150000000000000e+04 2.641775888564978581e-08
1.730150000000000000e+04 3.055740041443304653e-08
1.750150000000000000e+04 2.914920751081395396e-08
1.770150000000000000e+04 2.696997871246205905e-08
1.790150000000000000e+04 3.141455325909915326e-08
1.810150000000000000e+04 2.552150693830673928e-08
1.830150000000000000e+04 2.927383403122240667e-08
1.850150000000000000e+04 2.643707351456235159e-08
1.870150000000000000e+04 2.915148996610603763e-08
1.890150000000000000e+04 2.749004821580248039e-08
1.910150000000000000e+04 2.777460777370041408e-08
1.930150000000000000e+04 2.875699363926613328e-08
1.950150000000000000e+04 2.986419977007387212e-08
1.970150000000000000e+04 2.888157561746680920e-08
1.990150000000000000e+04 2.904371388148032440e-08
2.010150000000000000e+04 2.963601307110564552e-08
2.030150000000000000e+04 2.740889577688121574e-08
2.050150000000000000e+04 3.062276496624437073e-08
2.070150000000000000e+04 3.584424966618090767e-08
