# ells, tt
1.015000000000000000e+02 3.321177238876633075e-01
3.015000000000000000e+02 -6.202462706868833164e-02
5.015000000000000000e+02 4.413404568796416849e-02
7.015000000000000000e+02 2.181482942321372187e-02
9.015000000000000000e+02 7.427446167525608711e-03
1.101500000000000000e+03 2.124860961059608921e-02
1.301500000000000000e+03 1.248933451947339263e-02
1.501500000000000000e+03 3.039496890818266239e-02
1.701500000000000000e+03 3.072689898455188695e-02
1.901500000000000000e+03 4.688694518763034114e-02
2.101500000000000000e+03 2.556274548366307964e-02
2.301500000000000000e+03 4.992240114303026638e-02
2.501500000000000000e+03 4.183800156989693486e-02
2.701500000000000000e+03 5.469580590411182025e-02
2.901500000000000000e+03 4.900041928511808531e-02
3.101500000000000000e+03 6.651031593174469569e-02
3.301500000000000000e+03 6.671476834360652586e-02
3.501500000000000000e+03 9.243329719341458750e-02
3.701500000000000000e+03 1.084256221570596423e-01
3.901500000000000000e+03 1.212780571214720493e-01
4.101500000000000000e+03 1.199725339053896722e-01
4.301500000000000000e+03 1.074716377665023981e-01
4.501500000000000000e+03 1.317919821576350736e-01
4.701500000000000000e+03 1.444196767675737236e-01
4.901500000000000000e+03 1.732158901337915446e-01
5.101500000000000000e+03 1.321063875039830138e-01
5.301500000000000000e+03 1.409361355830998919e-01
5.501500000000000000e+03 1.948516965280615021e-01
5.701500000000000000e+03 2.186632692329876226e-01
5.901500000000000000e+03 2.025443403518822350e-01
6.101500000000000000e+03 2.413571048086351756e-01
6.301500000000000000e+03 2.331934894846279249e-01
6.501500000000000000e+03 2.465597128284431339e-01
6.701500000000000000e+03 2.577918226484144926e-01
6.901500000000000000e+03 2.184797695486052072e-01
7.101500000000000000e+03 2.461841717472595392e-01
7.301500000000000000e+03 3.094473010431525450e-01
7.501500000000000000e+03 2.326771657953748407e-01
7.701500000000000000e+03 3.285177204071850765e-01
7.901500000000000000e+03 3.102239298598948314e-01
8.101500000000000000e+03 3.862322209915588500e-01
8.301500000000000000e+03 4.009662162878768199e-01
8.501500000000000000e+03 3.971259134378732902e-01
8.701500000000000000e+03 3.737182628672175433e-01
8.901500000000000000e+03 4.244766950704700337e-01
9.101500000000000000e+03 4.032424629905842495e-01
9.301500000000000000e+03 4.526445347912286810e-01
9.501500000000000000e+03 4.660884147912259245e-01
9.701500000000000000e+03 5.018728110745331872e-01
9.901500000000000000e+03 4.866747418883061727e-01
1.010150000000000000e+04 5.576727740073581518e-01
1.030150000000000000e+04 5.136837044933919572e-01
1.050150000000000000e+04 6.177894019087943889e-01
1.070150000000000000e+04 5.556300793613946354e-01
1.090150000000000000e+04 5.659712421525053827e-01
1.110150000000000000e+04 6.080632597733945932e-01
1.130150000000000000e+04 7.135340565802434920e-01
1.150150000000000000e+04 5.794321843824954410e-01
1.170150000000000000e+04 6.558386146810590844e-01
1.190150000000000000e+04 8.160157166404411466e-01
1.210150000000000000e+04 6.070074255592177170e-01
1.230150000000000000e+04 8.319352646456612543e-01
1.250150000000000000e+04 7.333475612464905868e-01
1.270150000000000000e+04 7.370704781312378273e-01
1.290150000000000000e+04 9.030499035567176591e-01
1.310150000000000000e+04 9.036057689687178041e-01
1.330150000000000000e+04 8.685248589543406172e-01
1.350150000000000000e+04 7.960331180526785122e-01
1.370150000000000000e+04 9.885832288159972503e-01
1.390150000000000000e+04 9.116462621721785897e-01
1.410150000000000000e+04 8.479194356781840636e-01
1.430150000000000000e+04 7.726659355461381606e-01
1.450150000000000000e+04 9.451907616854509087e-01
1.470150000000000000e+04 8.975407434527576944e-01
1.490150000000000000e+04 1.078060005358641771e+00
1.510150000000000000e+04 9.433863785859335493e-01
1.530150000000000000e+04 1.098927578139284211e+00
1.550150000000000000e+04 1.042851741163369983e+00
1.570150000000000000e+04 1.171392015691179900e+00
1.590150000000000000e+04 1.116339204017622988e+00
1.610150000000000000e+04 1.174096143109259138e+00
1.630150000000000000e+04 1.074878451740881813e+00
1.650150000000000000e+04 1.148643730139486285e+00
1.670150000000000000e+04 1.467140460439839478e+00
1.690150000000000000e+04 1.344149304303552173e+00
1.710150000000000000e+04 1.228839128065012831e+00
1.730150000000000000e+04 1.456705311577807915e+00
1.750150000000000000e+04 1.420958079685677777e+00
1.770150000000000000e+04 1.344589268177324604e+00
1.790150000000000000e+04 1.603084642015904393e+00
1.810150000000000000e+04 1.330272663634055164e+00
1.830150000000000000e+04 1.561218807542691156e+00
1.850150000000000000e+04 1.439731654456817500e+00
1.870150000000000000e+04 1.623001099310363848e+00
1.890150000000000000e+04 1.562246641059043650e+00
1.910150000000000000e+04 1.613916553560747591e+00
1.930150000000000000e+04 1.704252248974395201e+00
1.950150000000000000e+04 1.807714648536095314e+00
1.970150000000000000e+04 1.785093442293442578e+00
1.990150000000000000e+04 1.830259919564723337e+00
2.010150000000000000e+04 1.906205134129050904e+00
2.030150000000000000e+04 1.798347828447069752e+00
2.050150000000000000e+04 2.046982723822666550e+00
2.070150000000000000e+04 2.449361388310311582e+00
