# ells, tt
1.015000000000000000e+02 6.626507828382319776e-01
3.015000000000000000e+02 7.852060853134824825e+00
5.015000000000000000e+02 1.072232085438689353e+01
7.015000000000000000e+02 2.080007823698932867e+01
9.015000000000000000e+02 4.651111159866586320e+01
1.101500000000000000e+03 7.242245458905908606e+01
1.301500000000000000e+03 1.170276104609237251e+02
1.501500000000000000e+03 1.460424691163589159e+02
1.701500000000000000e+03 1.468057008408440254e+02
1.901500000000000000e+03 1.728885858294270008e+02
2.101500000000000000e+03 2.729361514886408031e+02
2.301500000000000000e+03 3.357315829130041038e+02
2.501500000000000000e+03 4.129072914396115266e+02
2.701500000000000000e+03 4.690300465222202320e+02
2.901500000000000000e+03 4.229735335988890483e+02
3.101500000000000000e+03 5.145640561644058835e+02
3.301500000000000000e+03 6.959306447306655627e+02
3.501500000000000000e+03 8.021383337172319443e+02
3.701500000000000000e+03 7.851216502289835262e+02
3.901500000000000000e+03 8.840061292170626075e+02
4.101500000000000000e+03 9.005399315738607129e+02
4.301500000000000000e+03 9.818386089344462562e+02
4.501500000000000000e+03 1.296993258628605190e+03
4.701500000000000000e+03 1.516630789107469809e+03
4.901500000000000000e+03 1.372160090168004444e+03
5.101500000000000000e+03 1.436159376327595737e+03
5.301500000000000000e+03 1.585612457500353230e+03
5.501500000000000000e+03 1.722565802454148297e+03
5.701500000000000000e+03 2.080095104550370252e+03
5.901500000000000000e+03 2.207547515230211957e+03
6.101500000000000000e+03 2.119001405770831298e+03
6.301500000000000000e+03 2.037630361305245515e+03
6.501500000000000000e+03 2.437581457636646519e+03
6.701500000000000000e+03 2.645152513967068444e+03
6.901500000000000000e+03 2.975815625964521132e+03
7.101500000000000000e+03 3.180613304394614715e+03
7.301500000000000000e+03 3.100834697203706583e+03
7.501500000000000000e+03 2.932903654558560447e+03
7.701500000000000000e+03 3.374427095956265930e+03
7.901500000000000000e+03 3.931036287163506131e+03
8.101500000000000000e+03 4.141762092087402380e+03
8.301500000000000000e+03 4.117827758867125340e+03
8.501500000000000000e+03 3.842190898965007364e+03
8.701500000000000000e+03 4.147711410598399198e+03
8.901500000000000000e+03 4.650403059004098395e+03
9.101500000000000000e+03 5.106221615352162189e+03
9.301500000000000000e+03 5.168745975844010900e+03
9.501500000000000000e+03 5.418599371546908515e+03
9.701500000000000000e+03 5.192774423676784863e+03
9.901500000000000000e+03 5.410940954545520071e+03
1.010150000000000000e+04 6.088728397912565015e+03
1.030150000000000000e+04 6.717717025848865887e+03
1.050150000000000000e+04 6.428373984106328862e+03
1.070150000000000000e+04 6.473743083807661606e+03
1.090150000000000000e+04 6.566366715800430029e+03
1.110150000000000000e+04 6.990175279777455216e+03
1.130150000000000000e+04 7.852562689488222532e+03
1.150150000000000000e+04 8.067410955992794698e+03
1.170150000000000000e+04 8.079445863564227693e+03
1.190150000000000000e+04 7.637568298370573757e+03
1.210150000000000000e+04 8.252376497234659837e+03
1.230150000000000000e+04 8.975091350635007984e+03
1.250150000000000000e+04 9.656036993952578996e+03
1.270150000000000000e+04 9.825655750104069739e+03
1.290150000000000000e+04 9.532695413981562524e+03
1.310150000000000000e+04 9.327927331661663629e+03
1.330150000000000000e+04 9.791997003704167582e+03
1.350150000000000000e+04 1.109435095365888810e+04
1.370150000000000000e+04 1.186571556408798278e+04
1.390150000000000000e+04 1.113841882846430963e+04
1.410150000000000000e+04 1.110682770132366568e+04
1.430150000000000000e+04 1.160433824350220857e+04
1.450150000000000000e+04 1.209925269976487471e+04
1.470150000000000000e+04 1.303858247598160597e+04
1.490150000000000000e+04 1.350166141136378428e+04
1.510150000000000000e+04 1.362539739527551501e+04
1.530150000000000000e+04 1.301544794557556816e+04
1.550150000000000000e+04 1.357044237256430642e+04
1.570150000000000000e+04 1.464432893582763791e+04
1.590150000000000000e+04 1.555665032353533752e+04
1.610150000000000000e+04 1.543806152582309915e+04
1.630150000000000000e+04 1.543595150136457778e+04
1.650150000000000000e+04 1.471812834305715660e+04
1.670150000000000000e+04 1.637265067426374480e+04
1.690150000000000000e+04 1.746695604569682837e+04
1.710150000000000000e+04 1.727424460308442940e+04
1.730150000000000000e+04 1.760299157659961202e+04
1.750150000000000000e+04 1.800672923733169955e+04
1.770150000000000000e+04 1.774148978235356481e+04
1.790150000000000000e+04 1.839006637459879494e+04
1.810150000000000000e+04 2.059454736216889069e+04
1.830150000000000000e+04 2.047011520068071695e+04
1.850150000000000000e+04 1.924164709440257866e+04
1.870150000000000000e+04 1.973653442153254946e+04
1.890150000000000000e+04 2.093412162699332839e+04
1.910150000000000000e+04 2.104457846176812018e+04
1.930150000000000000e+04 2.343585569497987308e+04
1.950150000000000000e+04 2.275695355561154065e+04
1.970150000000000000e+04 2.203000404248324048e+04
1.990150000000000000e+04 2.242760873937491124e+04
2.010150000000000000e+04 2.414290920353774709e+04
2.030150000000000000e+04 2.494881714741281394e+04
2.050150000000000000e+04 2.476794794191581241e+04
2.070150000000000000e+04 3.264622340883067227e+04
