# ells, tt
1.015000000000000000e+02 5.308824749524887032e+00
3.015000000000000000e+02 -1.418513226241620018e-01
5.015000000000000000e+02 4.010211259653010174e+00
7.015000000000000000e+02 8.161710134665387528e-01
9.015000000000000000e+02 2.026587191350714523e+00
1.101500000000000000e+03 2.458115303939454765e+00
1.301500000000000000e+03 4.010199911184675337e+00
1.501500000000000000e+03 5.415587559141149754e+00
1.701500000000000000e+03 5.531682046751528858e+00
1.901500000000000000e+03 4.819034383089823237e+00
2.101500000000000000e+03 7.282618669803188283e+00
2.301500000000000000e+03 7.633430914828414515e+00
2.501500000000000000e+03 8.902370153446328871e+00
2.701500000000000000e+03 7.177847219766399611e+00
2.901500000000000000e+03 8.357633883877806369e+00
3.101500000000000000e+03 9.176420445267861936e+00
3.301500000000000000e+03 1.005350004065305747e+01
3.501500000000000000e+03 1.297667777776988807e+01
3.701500000000000000e+03 1.059508826043989771e+01
3.901500000000000000e+03 1.116238511854922777e+01
4.101500000000000000e+03 9.788491887958674198e+00
4.301500000000000000e+03 1.035907631145677854e+01
4.501500000000000000e+03 1.176704370377017028e+01
4.701500000000000000e+03 9.690436257497070827e+00
4.901500000000000000e+03 1.100266622581984244e+01
5.101500000000000000e+03 9.951503677890034538e+00
5.301500000000000000e+03 9.216473921474571895e+00
5.501500000000000000e+03 1.385506224307932044e+01
5.701500000000000000e+03 1.261047826209761524e+01
5.901500000000000000e+03 9.497254662022356797e+00
6.101500000000000000e+03 1.180151415414903937e+01
6.301500000000000000e+03 1.200364771301232558e+01
6.501500000000000000e+03 1.171490040739167071e+01
6.701500000000000000e+03 1.123948868385751254e+01
6.901500000000000000e+03 1.235492517649758426e+01
7.101500000000000000e+03 1.124860521489070209e+01
7.301500000000000000e+03 1.101008799991283205e+01
7.501500000000000000e+03 1.042171020705299433e+01
7.701500000000000000e+03 1.044226889144383819e+01
7.901500000000000000e+03 1.031162136561861331e+01
8.101500000000000000e+03 1.091755483734635135e+01
8.301500000000000000e+03 1.136263221232983511e+01
8.501500000000000000e+03 8.118548909467197205e+00
8.701500000000000000e+03 1.198653990730524477e+01
8.901500000000000000e+03 8.073686172504284997e+00
9.101500000000000000e+03 1.045757841710958935e+01
9.301500000000000000e+03 9.671031583829591938e+00
9.501500000000000000e+03 9.890019592632203427e+00
9.701500000000000000e+03 1.103148751616498302e+01
9.901500000000000000e+03 8.937651873095925126e+00
1.010150000000000000e+04 9.880804865492127220e+00
1.030150000000000000e+04 1.069438237638880196e+01
1.050150000000000000e+04 8.306419840510915975e+00
1.070150000000000000e+04 9.072022971466502383e+00
1.090150000000000000e+04 8.171681603176075726e+00
1.110150000000000000e+04 9.012304357097187690e+00
1.130150000000000000e+04 7.889802838459351264e+00
1.150150000000000000e+04 9.468139292772367099e+00
1.170150000000000000e+04 7.640257402108369789e+00
1.190150000000000000e+04 8.289062653855726381e+00
1.210150000000000000e+04 8.024612654993983796e+00
1.230150000000000000e+04 9.093713362445045689e+00
1.250150000000000000e+04 8.170006824859537886e+00
1.270150000000000000e+04 8.473660631746657401e+00
1.290150000000000000e+04 7.795684806957982715e+00
1.310150000000000000e+04 9.075966351786711073e+00
1.330150000000000000e+04 6.292350317594957332e+00
1.350150000000000000e+04 7.388981514096172987e+00
1.370150000000000000e+04 7.247111793822718084e+00
1.390150000000000000e+04 7.762892355350254903e+00
1.410150000000000000e+04 7.777589860034516356e+00
1.430150000000000000e+04 7.205171880679282381e+00
1.450150000000000000e+04 7.182192960361314604e+00
1.470150000000000000e+04 6.152157522994707861e+00
1.490150000000000000e+04 6.768845013313097070e+00
1.510150000000000000e+04 6.373611820101098502e+00
1.530150000000000000e+04 7.108072719095275716e+00
1.550150000000000000e+04 6.747594176613040950e+00
1.570150000000000000e+04 6.985463840257642332e+00
1.590150000000000000e+04 5.939476024871489734e+00
1.610150000000000000e+04 6.890162147629281364e+00
1.630150000000000000e+04 6.305418338591492144e+00
1.650150000000000000e+04 5.626067758689858422e+00
1.670150000000000000e+04 6.136321325976096475e+00
1.690150000000000000e+04 5.948570303926302927e+00
1.710150000000000000e+04 5.754254532892385754e+00
1.730150000000000000e+04 6.561818018134154329e+00
1.750150000000000000e+04 5.987202438995261389e+00
1.770150000000000000e+04 6.276998563385651764e+00
1.790150000000000000e+04 5.300550583701834739e+00
1.810150000000000000e+04 5.568652301013351291e+00
1.830150000000000000e+04 6.825604762949391002e+00
1.850150000000000000e+04 5.658282588044089678e+00
1.870150000000000000e+04 5.763641981626578925e+00
1.890150000000000000e+04 5.565926511641109187e+00
1.910150000000000000e+04 6.075167799835381466e+00
1.930150000000000000e+04 5.611444102022134395e+00
1.950150000000000000e+04 6.684480258395214314e+00
1.970150000000000000e+04 5.983598047909358897e+00
1.990150000000000000e+04 5.671980117978883129e+00
2.010150000000000000e+04 5.497264014643407748e+00
2.030150000000000000e+04 5.679555178110140545e+00
2.050150000000000000e+04 5.225582706154233037e+00
2.070150000000000000e+04 6.743498795807809643e+00
