# ells, tt
1.015000000000000000e+02 1.981075096987552540e-04
3.015000000000000000e+02 4.441437865291036262e-05
5.015000000000000000e+02 2.782115144448907360e-05
7.015000000000000000e+02 2.514301351956176167e-05
9.015000000000000000e+02 3.968928764169053514e-05
1.101500000000000000e+03 4.540043862521974207e-05
1.301500000000000000e+03 4.786368274270038693e-05
1.501500000000000000e+03 4.692900962365661891e-05
1.701500000000000000e+03 3.383510228732805944e-05
1.901500000000000000e+03 3.001873408322831637e-05
2.101500000000000000e+03 4.274111012845803232e-05
2.301500000000000000e+03 4.618000888984184017e-05
2.501500000000000000e+03 4.945142738485049642e-05
2.701500000000000000e+03 4.310329341247902987e-05
2.901500000000000000e+03 3.223176212778302587e-05
3.101500000000000000e+03 3.587116190248269506e-05
3.301500000000000000e+03 4.482325146305438687e-05
3.501500000000000000e+03 4.774025413834913893e-05
3.701500000000000000e+03 4.023834237636203309e-05
3.901500000000000000e+03 3.929106331014224466e-05
4.101500000000000000e+03 3.630701514755674188e-05
4.301500000000000000e+03 3.594271149343909158e-05
4.501500000000000000e+03 4.597943126466158407e-05
4.701500000000000000e+03 4.885889550352305914e-05
4.901500000000000000e+03 4.079563090346577359e-05
5.101500000000000000e+03 3.675043558226639463e-05
5.301500000000000000e+03 3.648979746480725896e-05
5.501500000000000000e+03 4.016847068498973514e-05
5.701500000000000000e+03 4.605312361872415167e-05
5.901500000000000000e+03 4.531460880138088346e-05
6.101500000000000000e+03 3.804411987682631050e-05
6.301500000000000000e+03 3.455464243888902831e-05
6.501500000000000000e+03 3.949062540980492725e-05
6.701500000000000000e+03 4.179314065304046838e-05
6.901500000000000000e+03 4.514438487414233552e-05
7.101500000000000000e+03 4.403891069817156560e-05
7.301500000000000000e+03 3.974262694311611512e-05
7.501500000000000000e+03 3.476174168882542939e-05
7.701500000000000000e+03 3.851658791233760956e-05
7.901500000000000000e+03 4.453096963038971515e-05
8.101500000000000000e+03 4.536264606820395774e-05
8.301500000000000000e+03 4.099751895346455237e-05
8.501500000000000000e+03 3.501695977388403049e-05
8.701500000000000000e+03 3.770408699862156044e-05
8.901500000000000000e+03 4.191072586310712550e-05
9.101500000000000000e+03 4.371102843629729145e-05
9.301500000000000000e+03 4.270368715986418075e-05
9.501500000000000000e+03 4.079297926813057302e-05
9.701500000000000000e+03 3.719827119922032631e-05
9.901500000000000000e+03 3.712950906417039154e-05
1.010150000000000000e+04 4.205941919052575459e-05
1.030150000000000000e+04 4.534375698826498887e-05
1.050150000000000000e+04 4.049761431468453904e-05
1.070150000000000000e+04 3.847638014712902838e-05
1.090150000000000000e+04 3.626678143077010242e-05
1.110150000000000000e+04 4.006438315143259331e-05
1.130150000000000000e+04 4.472989740606488974e-05
1.150150000000000000e+04 4.274668280979386807e-05
1.170150000000000000e+04 4.041976494963659300e-05
1.190150000000000000e+04 3.729144702826362801e-05
1.210150000000000000e+04 3.810666506377064725e-05
1.230150000000000000e+04 4.065250482035391165e-05
1.250150000000000000e+04 4.393474029779140792e-05
1.270150000000000000e+04 4.351580182275136249e-05
1.290150000000000000e+04 3.810702859623514094e-05
1.310150000000000000e+04 3.701948081697264801e-05
1.330150000000000000e+04 3.844647734482964277e-05
1.350150000000000000e+04 4.267836999802124883e-05
1.370150000000000000e+04 4.558132414104025813e-05
1.390150000000000000e+04 4.031516933560515856e-05
1.410150000000000000e+04 3.747724344281071717e-05
1.430150000000000000e+04 3.834787806929680799e-05
1.450150000000000000e+04 4.052228346099063096e-05
1.470150000000000000e+04 4.240210083750535648e-05
1.490150000000000000e+04 4.232121094149990061e-05
1.510150000000000000e+04 4.208202494894943573e-05
1.530150000000000000e+04 3.714413817405835848e-05
1.550150000000000000e+04 3.765774413659190017e-05
1.570150000000000000e+04 4.261483324450340664e-05
1.590150000000000000e+04 4.418770726178890490e-05
1.610150000000000000e+04 4.176927428816357894e-05
1.630150000000000000e+04 3.928419707887917498e-05
1.650150000000000000e+04 3.703509100624896447e-05
1.670150000000000000e+04 4.027902322286398530e-05
1.690150000000000000e+04 4.277989201987325465e-05
1.710150000000000000e+04 4.255802154432598318e-05
1.730150000000000000e+04 4.031814180247656962e-05
1.750150000000000000e+04 3.990053387466299141e-05
1.770150000000000000e+04 3.848733216250520978e-05
1.790150000000000000e+04 3.984318618038117522e-05
1.810150000000000000e+04 4.450696541385078774e-05
1.830150000000000000e+04 4.388715778799536535e-05
1.850150000000000000e+04 3.854684144202728141e-05
1.870150000000000000e+04 3.782632705945462615e-05
1.890150000000000000e+04 4.006914042505549357e-05
1.910150000000000000e+04 4.124056687897172026e-05
1.930150000000000000e+04 4.396140355496380719e-05
1.950150000000000000e+04 4.170972798310117234e-05
1.970150000000000000e+04 3.888439697511371975e-05
1.990150000000000000e+04 3.869782278195609123e-05
2.010150000000000000e+04 4.073377136717729031e-05
2.030150000000000000e+04 4.312718369885201703e-05
2.050150000000000000e+04 4.223435098286097543e-05
2.070150000000000000e+04 5.235649101541936198e-05
