# ells, tt
1.015000000000000000e+02 3.483584499502354678e-06
3.015000000000000000e+02 -5.352321175992202358e-07
5.015000000000000000e+02 9.995416633045470033e-08
7.015000000000000000e+02 -1.390100759235200946e-08
9.015000000000000000e+02 4.980079462776737064e-09
1.101500000000000000e+03 1.948913882939496281e-09
1.301500000000000000e+03 2.844133809019651175e-09
1.501500000000000000e+03 2.854183877214891643e-09
1.701500000000000000e+03 2.305580310677894519e-09
1.901500000000000000e+03 1.651822339125952855e-09
2.101500000000000000e+03 1.983914767697394263e-09
2.301500000000000000e+03 1.765248338061800565e-09
2.501500000000000000e+03 1.735799482308563382e-09
2.701500000000000000e+03 1.191013073597739182e-09
2.901500000000000000e+03 1.220022940703635975e-09
3.101500000000000000e+03 1.159084975631511066e-09
3.301500000000000000e+03 1.126366298202922583e-09
3.501500000000000000e+03 1.290502941140352336e-09
3.701500000000000000e+03 9.412037525862794186e-10
3.901500000000000000e+03 8.931001267322077982e-10
4.101500000000000000e+03 7.115770255751358058e-10
4.301500000000000000e+03 6.836569598771214903e-10
4.501500000000000000e+03 7.070386593529000164e-10
4.701500000000000000e+03 5.355038670964998226e-10
4.901500000000000000e+03 5.584177961680973337e-10
5.101500000000000000e+03 4.660385975422072869e-10
5.301500000000000000e+03 4.011044447922582842e-10
5.501500000000000000e+03 5.602438619170639142e-10
5.701500000000000000e+03 4.716202585904282889e-10
5.901500000000000000e+03 3.338050308460589379e-10
6.101500000000000000e+03 3.864847597035922877e-10
6.301500000000000000e+03 3.693204268045948573e-10
6.501500000000000000e+03 3.376947503850060603e-10
6.701500000000000000e+03 3.055755381319927862e-10
6.901500000000000000e+03 3.167947124255001868e-10
7.101500000000000000e+03 2.725689787982134585e-10
7.301500000000000000e+03 2.516497240522614525e-10
7.501500000000000000e+03 2.256226683506959717e-10
7.701500000000000000e+03 2.151598240969870935e-10
7.901500000000000000e+03 2.017305375827899236e-10
8.101500000000000000e+03 2.027099837967500210e-10
8.301500000000000000e+03 2.013969118786077537e-10
8.501500000000000000e+03 1.369855224117462590e-10
8.701500000000000000e+03 1.934615185275492803e-10
8.901500000000000000e+03 1.241995092282380681e-10
9.101500000000000000e+03 1.542071632268329059e-10
9.301500000000000000e+03 1.362755368700438211e-10
9.501500000000000000e+03 1.338822228273068195e-10
9.701500000000000000e+03 1.429303989395844296e-10
9.901500000000000000e+03 1.113102755943024240e-10
1.010150000000000000e+04 1.182487085921444625e-10
1.030150000000000000e+04 1.230047324711822457e-10
1.050150000000000000e+04 9.192643843775208221e-11
1.070150000000000000e+04 9.663426918890458934e-11
1.090150000000000000e+04 8.396043060928851113e-11
1.110150000000000000e+04 8.923871792964163602e-11
1.130150000000000000e+04 7.546632865583888460e-11
1.150150000000000000e+04 8.732219345527212601e-11
1.170150000000000000e+04 6.810304959157942300e-11
1.190150000000000000e+04 7.152030952169448201e-11
1.210150000000000000e+04 6.685910415757276470e-11
1.230150000000000000e+04 7.334584075746707131e-11
1.250150000000000000e+04 6.381155345487652761e-11
1.270150000000000000e+04 6.408650800745677047e-11
1.290150000000000000e+04 5.723219751189232174e-11
1.310150000000000000e+04 6.452631199291128134e-11
1.330150000000000000e+04 4.337366881661648111e-11
1.350150000000000000e+04 4.950862563161598072e-11
1.370150000000000000e+04 4.711914442197395444e-11
1.390150000000000000e+04 4.905537928982821306e-11
1.410150000000000000e+04 4.774202491772382831e-11
1.430150000000000000e+04 4.299312460633789573e-11
1.450150000000000000e+04 4.169057756056007775e-11
1.470150000000000000e+04 3.473182303193673728e-11
1.490150000000000000e+04 3.722781868439448291e-11
1.510150000000000000e+04 3.411810947154703390e-11
1.530150000000000000e+04 3.706836141722298460e-11
1.550150000000000000e+04 3.425918085308181356e-11
1.570150000000000000e+04 3.462149666613483835e-11
1.590150000000000000e+04 2.864499551356827171e-11
1.610150000000000000e+04 3.246676102603849201e-11
1.630150000000000000e+04 2.894031139727410172e-11
1.650150000000000000e+04 2.523127977350139690e-11
1.670150000000000000e+04 2.685263453505053307e-11
1.690150000000000000e+04 2.542990473608100077e-11
1.710150000000000000e+04 2.401684408483790743e-11
1.730150000000000000e+04 2.676309434047431499e-11
1.750150000000000000e+04 2.385166165260271240e-11
1.770150000000000000e+04 2.446659170746309574e-11
1.790150000000000000e+04 2.017853729608987264e-11
1.810150000000000000e+04 2.075508222548260347e-11
1.830150000000000000e+04 2.488555158914496217e-11
1.850150000000000000e+04 2.016804412527085088e-11
1.870150000000000000e+04 2.011282373932954343e-11
1.890150000000000000e+04 1.903698618120120085e-11
1.910150000000000000e+04 2.031535009006814086e-11
1.930150000000000000e+04 1.838991777955007739e-11
1.950150000000000000e+04 2.146681918452966141e-11
1.970150000000000000e+04 1.881523667780137014e-11
1.990150000000000000e+04 1.748041670004737110e-11
2.010150000000000000e+04 1.660982397615610191e-11
2.030150000000000000e+04 1.681767820833659163e-11
2.050150000000000000e+04 1.519646093518821052e-11
2.070150000000000000e+04 1.917212956716877981e-11
