# ells, tt, ee, bb, te
1.015000000000000000e+02 9.163494333105310918e-01 -7.238681992415678130e-04 5.424281374902392098e-04 7.904087844664998280e-03
3.015000000000000000e+02 2.786191926845781319e-01 8.231112076677494930e-04 5.846439068038734789e-05 -6.109601456301545471e-04
5.015000000000000000e+02 5.210305092143978356e-02 4.445954513023296487e-04 2.472883462970122600e-05 8.868165334920557769e-04
7.015000000000000000e+02 1.180759068781632448e-02 4.476084249352963156e-04 1.009937225222943408e-07 -6.484000658380688689e-04
9.015000000000000000e+02 1.287506058746981652e-02 8.286679395230322348e-05 3.174117755210930638e-06 4.492162858027563019e-04
1.101500000000000000e+03 5.132900088309522157e-03 1.292136901610084054e-04 3.820249022178045080e-06 -3.329179374430973079e-05
1.301500000000000000e+03 2.124662659868925378e-03 9.300506092216307449e-05 1.184125372478994111e-06 -1.061268961395973360e-04
1.501500000000000000e+03 1.186936876183187616e-03 3.739354697223386926e-05 1.978345093989624344e-07 1.007078935867670980e-05
1.701500000000000000e+03 6.910318322847607952e-04 2.117111371934340489e-05 2.734069682320015541e-08 -2.345342009010130982e-06
1.901500000000000000e+03 5.604657737707785786e-04 1.571046397640502612e-05 1.943051887044456036e-07 -2.696228369846359650e-05
2.101500000000000000e+03 2.976907641992351198e-04 6.755885448605341968e-06 1.329196395493065995e-08 -1.657888070568389396e-05
2.301500000000000000e+03 1.341412796045859598e-04 5.896861848251550909e-06 -3.246234225861910338e-08 -7.161672685084017507e-06
2.501500000000000000e+03 5.578691269789067811e-05 1.846812065461523985e-06 4.939370492724303368e-08 1.846292932839835489e-06
2.701500000000000000e+03 5.840324622285061705e-05 2.223268102623309602e-06 6.398126616911349726e-09 -5.610098324628447768e-06
2.901500000000000000e+03 2.563521621902535791e-05 4.016851838057026516e-07 7.048118374503073476e-09 -2.026522743915931469e-07
3.101500000000000000e+03 1.295009748354896987e-05 6.164121276155611685e-07 1.026629160588826308e-08 -1.643338105157767356e-06
3.301500000000000000e+03 7.627369485306899702e-06 3.446453706158729896e-07 6.294660990260632121e-09 -2.402009698266329674e-07
3.501500000000000000e+03 4.415133643161083270e-06 1.501194120066824627e-07 3.512120189252944118e-09 -4.676844336831327634e-08
3.701500000000000000e+03 2.929878551467070391e-06 7.452658311492132647e-08 2.480694803186558960e-09 -1.920511974819145284e-07
3.901500000000000000e+03 1.439683132827886790e-06 6.105574555796810681e-08 2.427886543011140783e-09 -8.447829167060239724e-08
4.101500000000000000e+03 1.207058798694602689e-06 2.802458788974363585e-08 2.076457844729925012e-09 -4.620562803387309654e-08
4.301500000000000000e+03 4.467776306133332351e-07 1.695097740441676740e-08 1.866182418978080275e-09 -1.828270349821557168e-08
4.501500000000000000e+03 5.272144332024844512e-07 1.411923113308747410e-08 1.782719543683429312e-09 1.581181938664322174e-09
4.701500000000000000e+03 2.605057828709925383e-07 5.945227438872010530e-09 1.356695430025036058e-09 2.169449763561497633e-09
4.901500000000000000e+03 1.449420766656739681e-07 4.745996335618913760e-09 1.107796689816795397e-09 -5.402184751191078371e-09
5.101500000000000000e+03 1.930561335071950812e-07 2.428866666099002130e-09 7.340833769244812447e-10 -4.583868070529226534e-09
5.301500000000000000e+03 1.251774944221063244e-07 2.835673101180933238e-09 8.335901268028126946e-10 -7.974222821083458065e-10
5.501500000000000000e+03 8.217831317702298423e-08 1.902829790881695361e-09 8.604395842185915201e-10 -1.256076566514394790e-09
5.701500000000000000e+03 7.434625967079568161e-08 1.267585521901955059e-09 5.982859508849277044e-10 -1.307770498142959339e-09
5.901500000000000000e+03 7.503443813207910089e-08 8.917043870281717166e-10 7.031229368180812504e-10 -1.774542730843068185e-09
6.101500000000000000e+03 6.529217194740706439e-08 8.746500167758759581e-10 3.500412651181613163e-10 -5.859798582700080734e-10
6.301500000000000000e+03 3.853056960779219804e-08 6.542825858524120778e-10 5.476919176082056766e-10 4.467816766780578282e-10
