# ells, tt, ee, bb, te
1.015000000000000000e+02 9.880555859448945739e+02 -4.038483607943098797e+00 3.528004866775846793e+00 1.761905578279259288e+01
3.015000000000000000e+02 3.969838061132876646e+03 1.280179774933244019e+01 1.145409278540380660e+00 -2.880956430190401818e+00
5.015000000000000000e+02 2.336935594410295835e+03 1.685096855387709880e+01 4.308202262443674435e-01 2.664675674673559058e+01
7.015000000000000000e+02 9.963281142697528594e+02 3.529880087108620046e+01 3.229053073690271169e-01 -4.941262861651748040e+01
9.015000000000000000e+02 1.529999967738218174e+03 1.236007863382398497e+01 4.157717393076323376e-01 5.878123145027805663e+01
1.101500000000000000e+03 1.078023386981395333e+03 2.420024111714496939e+01 7.105893152627609233e-01 -6.438335545761757928e+00
1.301500000000000000e+03 5.302225831688103881e+02 2.596025430287726365e+01 3.729630885523733674e-01 -2.638754355353596281e+01
1.501500000000000000e+03 4.262919334198116985e+02 1.346741889849376861e+01 6.676939942356185931e-02 2.540572271575057606e+00
1.701500000000000000e+03 3.132829580425769791e+02 9.752100336111196199e+00 1.675437206065055751e-02 -1.289003050050536281e+00
1.901500000000000000e+03 3.204243530393868582e+02 9.221132109424221568e+00 1.121418621648790914e-01 -1.488842441228999647e+01
2.101500000000000000e+03 2.133963739836667628e+02 4.790668146549837303e+00 1.150489442993124500e-02 -1.179609509166247960e+01
2.301500000000000000e+03 1.124095885072768226e+02 4.964628155981220203e+00 -2.811862618784063961e-02 -6.149607462356886600e+00
2.501500000000000000e+03 5.713933222265978884e+01 1.923948131434923603e+00 4.856009904079533479e-02 1.818549108789342394e+00
2.701500000000000000e+03 6.694157509613349077e+01 2.541560971299586136e+00 7.631414005562789371e-03 -6.410012052938757421e+00
2.901500000000000000e+03 3.513096597207945138e+01 5.730644938145628142e-01 9.712777316390128202e-03 -3.961902391210334606e-01
3.101500000000000000e+03 1.959757581139746208e+01 9.331049931283132981e-01 1.560037827163133356e-02 -2.446796392544205556e+00
3.301500000000000000e+03 1.320730736168463793e+01 6.009527241922748564e-01 1.104966735712563375e-02 -4.573389560326072134e-01
3.501500000000000000e+03 8.450961450273634767e+00 2.980083932682294767e-01 6.992023474519399456e-03 -8.721286114952686574e-02
3.701500000000000000e+03 6.270528590115469925e+00 1.620126950572308155e-01 5.389808739224300968e-03 -4.142976391057063834e-01
3.901500000000000000e+03 3.457984668604716205e+00 1.486794058298822607e-01 5.936310151959804313e-03 -2.108030034722521151e-01
4.101500000000000000e+03 3.162246769814598402e+00 7.535160140960675546e-02 5.539584142667712888e-03 -1.232106427841555552e-01
4.301500000000000000e+03 1.310300644767906419e+00 5.020295944217628703e-02 5.514738746957328387e-03 -5.472423230746345513e-02
4.501500000000000000e+03 1.666790540105314911e+00 4.560789884944785322e-02 5.749670906833747978e-03 5.182334141705789710e-03
4.701500000000000000e+03 8.994402610390062058e-01 2.112242561026311111e-02 4.798613505809307817e-03 7.640970207228682531e-03
4.901500000000000000e+03 5.224289760992586462e-01 1.810789011302737367e-02 4.236134019056933889e-03 -2.034395334854769907e-02
