# ells, kk
1.015000000000000000e+02 2.106163185767743537e-07
3.015000000000000000e+02 4.934369410601091481e-08
5.015000000000000000e+02 2.767702294071621795e-08
7.015000000000000000e+02 7.957949808117190917e-09
9.015000000000000000e+02 1.453228712765574937e-08
1.101500000000000000e+03 6.377151592460692230e-09
1.301500000000000000e+03 4.292921828510678040e-09
1.501500000000000000e+03 6.117035370409589704e-09
1.701500000000000000e+03 3.667832166396010558e-09
1.901500000000000000e+03 2.783896903755163942e-09
2.101500000000000000e+03 2.596800689455468182e-09
2.301500000000000000e+03 1.766047370100995636e-09
2.501500000000000000e+03 1.695162204463164504e-09
2.701500000000000000e+03 1.779859593115175967e-09
2.901500000000000000e+03 9.792216410526108227e-10
3.101500000000000000e+03 9.217052648476157690e-10
3.301500000000000000e+03 1.390272017545768668e-09
3.501500000000000000e+03 1.172682761617384203e-09
3.701500000000000000e+03 7.062856761815781997e-10
3.901500000000000000e+03 8.613495262883253067e-10
4.101500000000000000e+03 7.197433541614410969e-10
4.301500000000000000e+03 9.013378762743326933e-10
4.501500000000000000e+03 6.767978324721340340e-10
4.701500000000000000e+03 4.688343744990338529e-10
4.901500000000000000e+03 6.086436990722175986e-10
5.101500000000000000e+03 6.211000531591726117e-10
5.301500000000000000e+03 5.824971967406706149e-10
5.501500000000000000e+03 4.079085831166778122e-10
5.701500000000000000e+03 5.490409476453965663e-10
5.901500000000000000e+03 4.291822200104848504e-10
6.101500000000000000e+03 4.589819650903040487e-10
6.301500000000000000e+03 4.137148318702931262e-10
6.501500000000000000e+03 3.881899538102441909e-10
6.701500000000000000e+03 3.576495332655310859e-10
6.901500000000000000e+03 3.209494005077109780e-10
7.101500000000000000e+03 3.876029877377189969e-10
7.301500000000000000e+03 3.309059779448336084e-10
7.501500000000000000e+03 3.616794703435535470e-10
7.701500000000000000e+03 3.248320437917289708e-10
7.901500000000000000e+03 3.062332532143970165e-10
8.101500000000000000e+03 3.671790796769425480e-10
8.301500000000000000e+03 2.708696879946523209e-10
8.501500000000000000e+03 3.219622863196349256e-10
8.701500000000000000e+03 2.778276773258365069e-10
8.901500000000000000e+03 2.453195740381687101e-10
9.101500000000000000e+03 2.471242771730617737e-10
9.301500000000000000e+03 2.216052195754652714e-10
9.501500000000000000e+03 2.389766149633184196e-10
9.701500000000000000e+03 1.820184568941796532e-10
9.901500000000000000e+03 2.787227802647195842e-10
1.010150000000000000e+04 2.093293625906612630e-10
1.030150000000000000e+04 2.181705222297466351e-10
1.050150000000000000e+04 2.059042617666876071e-10
1.070150000000000000e+04 2.258470011901464839e-10
1.090150000000000000e+04 1.995827086762433990e-10
1.110150000000000000e+04 1.834943526500436159e-10
1.130150000000000000e+04 1.904979495370094406e-10
1.150150000000000000e+04 2.201134855899762242e-10
1.170150000000000000e+04 1.642908684518997473e-10
1.190150000000000000e+04 2.143257060783297268e-10
1.210150000000000000e+04 1.973692737242143587e-10
1.230150000000000000e+04 1.448408356769299345e-10
1.250150000000000000e+04 1.478400236444480890e-10
1.270150000000000000e+04 1.824188854431872143e-10
1.290150000000000000e+04 1.593095429739485071e-10
1.310150000000000000e+04 1.892637708388959387e-10
1.330150000000000000e+04 1.216118397293625655e-10
1.350150000000000000e+04 1.569811292384108066e-10
1.370150000000000000e+04 1.441726973066205285e-10
1.390150000000000000e+04 1.493619846790762470e-10
1.410150000000000000e+04 1.469502433826719609e-10
1.430150000000000000e+04 1.154287649867388604e-10
1.450150000000000000e+04 1.314532335978640659e-10
1.470150000000000000e+04 1.152945799584178673e-10
1.490150000000000000e+04 1.205642733955829459e-10
1.510150000000000000e+04 1.038768874649044559e-10
1.530150000000000000e+04 1.125248396198621493e-10
1.550150000000000000e+04 1.273021338352910403e-10
1.570150000000000000e+04 1.126126260375446842e-10
1.590150000000000000e+04 1.306383777791542873e-10
1.610150000000000000e+04 1.130331020133817178e-10
1.630150000000000000e+04 1.060844119857662099e-10
1.650150000000000000e+04 9.593705489394892486e-11
1.670150000000000000e+04 1.093492809851592369e-10
1.690150000000000000e+04 9.279638646205295709e-11
1.710150000000000000e+04 1.265276615661073041e-10
1.730150000000000000e+04 9.588308484705844052e-11
1.750150000000000000e+04 1.034279958319751690e-10
1.770150000000000000e+04 9.267718429402384300e-11
1.790150000000000000e+04 9.327577853168880071e-11
1.810150000000000000e+04 8.764937020346568711e-11
1.830150000000000000e+04 8.512871807427858712e-11
1.850150000000000000e+04 9.838190545976186879e-11
1.870150000000000000e+04 8.783797736150239977e-11
1.890150000000000000e+04 7.510352107241008667e-11
1.910150000000000000e+04 9.314168309915752299e-11
1.930150000000000000e+04 8.882704802750069918e-11
1.950150000000000000e+04 7.903774706042656886e-11
1.970150000000000000e+04 8.220437019204776382e-11
1.990150000000000000e+04 8.051237117113091887e-11
2.010150000000000000e+04 8.311609284892531582e-11
2.030150000000000000e+04 8.684848870506490373e-11
2.050150000000000000e+04 7.299549441138059978e-11
2.070150000000000000e+04 9.701049453137301620e-11
