# ells, tt
1.015000000000000000e+02 3.966066628080730381e-06
3.015000000000000000e+02 1.492055924784556081e-06
5.015000000000000000e+02 1.418057756310400151e-05
7.015000000000000000e+02 4.024599743901866466e-06
9.015000000000000000e+02 7.455027870565452377e-06
1.101500000000000000e+03 3.455237095459344233e-06
1.301500000000000000e+03 5.070718099461992216e-06
1.501500000000000000e+03 1.069036565982668151e-06
1.701500000000000000e+03 2.040531705641180978e-06
1.901500000000000000e+03 1.584972547068088226e-06
2.101500000000000000e+03 1.213608153287315637e-06
2.301500000000000000e+03 1.314543892721387733e-06
2.501500000000000000e+03 1.028581986120826782e-06
2.701500000000000000e+03 1.003601845046123521e-06
2.901500000000000000e+03 8.042467307844278571e-07
3.101500000000000000e+03 8.466623072157480168e-07
3.301500000000000000e+03 5.822416813328289053e-07
3.501500000000000000e+03 7.947264992083431876e-07
3.701500000000000000e+03 4.691669327927059479e-07
3.901500000000000000e+03 5.050572003992799013e-07
4.101500000000000000e+03 4.247988859923959481e-07
4.301500000000000000e+03 4.583053351883217857e-07
4.501500000000000000e+03 3.252226819281709024e-07
4.701500000000000000e+03 3.512839606861583863e-07
4.901500000000000000e+03 3.621294257782215849e-07
5.101500000000000000e+03 3.252970993500740514e-07
5.301500000000000000e+03 1.928941975243808459e-07
5.501500000000000000e+03 2.524004852563918134e-07
5.701500000000000000e+03 1.912664515604978032e-07
5.901500000000000000e+03 1.924358709616297503e-07
6.101500000000000000e+03 1.969061764574105297e-07
6.301500000000000000e+03 1.628489781235879610e-07
6.501500000000000000e+03 1.620713066054886057e-07
6.701500000000000000e+03 1.635599598153475891e-07
6.901500000000000000e+03 1.350508356091042443e-07
7.101500000000000000e+03 1.331322833599739924e-07
7.301500000000000000e+03 1.137641339068109524e-07
7.501500000000000000e+03 1.311610097600039633e-07
7.701500000000000000e+03 1.278025212259313802e-07
7.901500000000000000e+03 1.125503204341930937e-07
8.101500000000000000e+03 1.309224968041845799e-07
8.301500000000000000e+03 1.084689666582475401e-07
8.501500000000000000e+03 1.211346503729857240e-07
8.701500000000000000e+03 1.047617015332728019e-07
8.901500000000000000e+03 9.048992729902216330e-08
9.101500000000000000e+03 8.929237564069348481e-08
9.301500000000000000e+03 7.902641070399626762e-08
9.501500000000000000e+03 8.395879731573954721e-08
9.701500000000000000e+03 6.246092790604796193e-08
9.901500000000000000e+03 9.426881631506985560e-08
1.010150000000000000e+04 6.987607531042979693e-08
1.030150000000000000e+04 7.173688498455837313e-08
1.050150000000000000e+04 6.688181005935721212e-08
1.070150000000000000e+04 7.223816026212286825e-08
1.090150000000000000e+04 6.313506507992232322e-08
1.110150000000000000e+04 5.735696407345579945e-08
1.130150000000000000e+04 5.878359507574873250e-08
1.150150000000000000e+04 6.707600787825358591e-08
1.170150000000000000e+04 4.941895842549612911e-08
1.190150000000000000e+04 6.379644813601958958e-08
1.210150000000000000e+04 5.800713925939092204e-08
1.230150000000000000e+04 4.207941454363807592e-08
1.250150000000000000e+04 4.249247628915679926e-08
1.270150000000000000e+04 5.180478786201869512e-08
1.290150000000000000e+04 4.469060487532806875e-08
1.310150000000000000e+04 5.250382120646591278e-08
1.330150000000000000e+04 3.336477542739188666e-08
1.350150000000000000e+04 4.259113128974926469e-08
1.370150000000000000e+04 3.867464534012579200e-08
1.390150000000000000e+04 3.964483190099703685e-08
1.410150000000000000e+04 3.860678138600202220e-08
1.430150000000000000e+04 2.998054228322944275e-08
1.450150000000000000e+04 3.378670761128463233e-08
1.470150000000000000e+04 2.935902601985706293e-08
1.490150000000000000e+04 3.042494041129493652e-08
1.510150000000000000e+04 2.596761501865077316e-08
1.530150000000000000e+04 2.790544153101292769e-08
1.550150000000000000e+04 3.128657604682035961e-08
1.570150000000000000e+04 2.742235701816813240e-08
1.590150000000000000e+04 3.159996865012930074e-08
1.610150000000000000e+04 2.706397881969796613e-08
1.630150000000000000e+04 2.521700498232743347e-08
1.650150000000000000e+04 2.259742761247992315e-08
1.670150000000000000e+04 2.557928555883422060e-08
1.690150000000000000e+04 2.152058159622809304e-08
1.710150000000000000e+04 2.912444799192672430e-08
1.730150000000000000e+04 2.187721096894423749e-08
1.750150000000000000e+04 2.343742342291965210e-08
1.770150000000000000e+04 2.083335738741932415e-08
1.790150000000000000e+04 2.081018503446665254e-08
1.810150000000000000e+04 1.941266039663883509e-08
1.830150000000000000e+04 1.871073917794486762e-08
1.850150000000000000e+04 2.148694342458570462e-08
1.870150000000000000e+04 1.901022950561879126e-08
1.890150000000000000e+04 1.614201232310469191e-08
1.910150000000000000e+04 1.987977077494466258e-08
1.930150000000000000e+04 1.880058513215070302e-08
1.950150000000000000e+04 1.662317323769859592e-08
1.970150000000000000e+04 1.715243613856415811e-08
1.990150000000000000e+04 1.668934618970999818e-08
2.010150000000000000e+04 1.709986239167248499e-08
2.030150000000000000e+04 1.773174747627497455e-08
2.050150000000000000e+04 1.480144371130460476e-08
2.070150000000000000e+04 1.951760480140047590e-08
