# ells, tt
1.015000000000000000e+02 3.246081612176164415e-03
3.015000000000000000e+02 1.046996688810267195e-03
5.015000000000000000e+02 5.694996956125457643e-01
7.015000000000000000e+02 3.408609569288051366e-01
9.015000000000000000e+02 9.236825725106729834e-01
1.101500000000000000e+03 7.055823213147065509e-01
1.301500000000000000e+03 1.351025738211747207e+00
1.501500000000000000e+03 4.131362340236199859e-01
1.701500000000000000e+03 9.277279569650325186e-01
1.901500000000000000e+03 9.223844289155608278e-01
2.101500000000000000e+03 8.466735648260492741e-01
2.301500000000000000e+03 1.119240111285273453e+00
2.501500000000000000e+03 1.019759653245819964e+00
2.701500000000000000e+03 1.165769050762414327e+00
2.901500000000000000e+03 1.076426429749879787e+00
3.101500000000000000e+03 1.296256675224631838e+00
3.301500000000000000e+03 1.012847950295340915e+00
3.501500000000000000e+03 1.547967150625660482e+00
3.701500000000000000e+03 1.034231278116118258e+00
3.901500000000000000e+03 1.216553169197950313e+00
4.101500000000000000e+03 1.139739386836229329e+00
4.301500000000000000e+03 1.348586557093516491e+00
4.501500000000000000e+03 1.060867187231398168e+00
4.701500000000000000e+03 1.223060907847357548e+00
4.901500000000000000e+03 1.393421741173043849e+00
5.101500000000000000e+03 1.344880790844262153e+00
5.301500000000000000e+03 8.652087933233612027e-01
5.501500000000000000e+03 1.217726409884151595e+00
5.701500000000000000e+03 9.902688474883937220e-01
5.901500000000000000e+03 1.065924818685457964e+00
6.101500000000000000e+03 1.164738947521428702e+00
6.301500000000000000e+03 1.033007979964259304e+00
6.501500000000000000e+03 1.089998166014729097e+00
6.701500000000000000e+03 1.168475516823162863e+00
6.901500000000000000e+03 1.024693555208718854e+00
7.101500000000000000e+03 1.067484126555465540e+00
7.301500000000000000e+03 9.658758017183814992e-01
7.501500000000000000e+03 1.174689655932465993e+00
7.701500000000000000e+03 1.208119906014652800e+00
7.901500000000000000e+03 1.115587649287672845e+00
8.101500000000000000e+03 1.369961351920478965e+00
8.301500000000000000e+03 1.188931823243718267e+00
8.501500000000000000e+03 1.394301183857485249e+00
8.701500000000000000e+03 1.262520145331020416e+00
8.901500000000000000e+03 1.141868355102542143e+00
9.101500000000000000e+03 1.177712205386473254e+00
9.301500000000000000e+03 1.087162614491202106e+00
9.501500000000000000e+03 1.208280617010644598e+00
9.701500000000000000e+03 9.343548368718483932e-01
9.901500000000000000e+03 1.472609620694593335e+00
1.010150000000000000e+04 1.134810094176982753e+00
1.030150000000000000e+04 1.212141419376736584e+00
1.050150000000000000e+04 1.173449820003510613e+00
1.070150000000000000e+04 1.318489002902575535e+00
1.090150000000000000e+04 1.193161895237550896e+00
1.110150000000000000e+04 1.125927458551896132e+00
1.130150000000000000e+04 1.194481656179263496e+00
1.150150000000000000e+04 1.413213161780147997e+00
1.170150000000000000e+04 1.077065429149611564e+00
1.190150000000000000e+04 1.436702479273486821e+00
1.210150000000000000e+04 1.353334261845503095e+00
1.230150000000000000e+04 1.014660174714065555e+00
1.250150000000000000e+04 1.055709206087636520e+00
1.270150000000000000e+04 1.330478401156175217e+00
1.290150000000000000e+04 1.184859489407295241e+00
1.310150000000000000e+04 1.433510607281072158e+00
1.330150000000000000e+04 9.399403791628915261e-01
1.350150000000000000e+04 1.236118825199959748e+00
1.370150000000000000e+04 1.155860925939500072e+00
1.390150000000000000e+04 1.219264346500667617e+00
1.410150000000000000e+04 1.222032334490813277e+00
1.430150000000000000e+04 9.760251322637758520e-01
1.450150000000000000e+04 1.131308925233364571e+00
1.470150000000000000e+04 1.009699052423731924e+00
1.490150000000000000e+04 1.075362108827565777e+00
1.510150000000000000e+04 9.433302963975427335e-01
1.530150000000000000e+04 1.039204483317505812e+00
1.550150000000000000e+04 1.196252440502107772e+00
1.570150000000000000e+04 1.076933213567258907e+00
1.590150000000000000e+04 1.270541399427047358e+00
1.610150000000000000e+04 1.117912240428688753e+00
1.630150000000000000e+04 1.065942929050321730e+00
1.650150000000000000e+04 9.799690646130722049e-01
1.670150000000000000e+04 1.135408555944742881e+00
1.690150000000000000e+04 9.784671334567373036e-01
1.710150000000000000e+04 1.355649928442009378e+00
1.730150000000000000e+04 1.042436254754159908e+00
1.750150000000000000e+04 1.142775610683306908e+00
1.770150000000000000e+04 1.039213225085453329e+00
1.790150000000000000e+04 1.061552601653549477e+00
1.810150000000000000e+04 1.012253076946318497e+00
1.830150000000000000e+04 9.976916496497127973e-01
1.850150000000000000e+04 1.170227777342785380e+00
1.870150000000000000e+04 1.058556588522996833e+00
1.890150000000000000e+04 9.180542434880191172e-01
1.910150000000000000e+04 1.153556334921657767e+00
1.930150000000000000e+04 1.115947899755751704e+00
1.950150000000000000e+04 1.005626652554633349e+00
1.970150000000000000e+04 1.059941347790008148e+00
1.990150000000000000e+04 1.051895623299885063e+00
2.010150000000000000e+04 1.099780984881705947e+00
2.030150000000000000e+04 1.163639004055840198e+00
2.050150000000000000e+04 9.897442575984842783e-01
2.070150000000000000e+04 1.333251931292084969e+00
