# ells, kk
1.015000000000000000e+02 4.622415717881286844e-08
3.015000000000000000e+02 2.218952114698225742e-08
5.015000000000000000e+02 1.305363381700681985e-08
7.015000000000000000e+02 8.551330827380607537e-09
9.015000000000000000e+02 6.173008218349879624e-09
1.101500000000000000e+03 4.684065460749790399e-09
1.301500000000000000e+03 3.707875091472883244e-09
1.501500000000000000e+03 3.034638937615756120e-09
1.701500000000000000e+03 2.541475548584072784e-09
1.901500000000000000e+03 2.171820615548475342e-09
2.101500000000000000e+03 1.886545063819433047e-09
2.301500000000000000e+03 1.660055074066155932e-09
2.501500000000000000e+03 1.477297206002662755e-09
2.701500000000000000e+03 1.327242030292955325e-09
2.901500000000000000e+03 1.202016593552035622e-09
3.101500000000000000e+03 1.096282110402019862e-09
3.301500000000000000e+03 1.005986259409343251e-09
3.501500000000000000e+03 9.280621278123715383e-10
3.701500000000000000e+03 8.602360932218716639e-10
3.901500000000000000e+03 8.007307188072988076e-10
4.101500000000000000e+03 7.481418129574658501e-10
4.301500000000000000e+03 7.013693149129101624e-10
4.501500000000000000e+03 6.595270139520574303e-10
4.701500000000000000e+03 6.218939995041038199e-10
4.901500000000000000e+03 5.878841364323313235e-10
5.101500000000000000e+03 5.570105970450052167e-10
5.301500000000000000e+03 5.288700879031602636e-10
5.501500000000000000e+03 5.031244729020957368e-10
5.701500000000000000e+03 4.794878163308502175e-10
5.901500000000000000e+03 4.577178250932317613e-10
6.101500000000000000e+03 4.376072724668207523e-10
6.301500000000000000e+03 4.189780414532336968e-10
6.501500000000000000e+03 4.016765407709095791e-10
6.701500000000000000e+03 3.855693516635465932e-10
6.901500000000000000e+03 3.705401383540080308e-10
7.101500000000000000e+03 3.564870944214918110e-10
7.301500000000000000e+03 3.433207004280722486e-10
7.501500000000000000e+03 3.309619459546970618e-10
7.701500000000000000e+03 3.193408739025530376e-10
7.901500000000000000e+03 3.083952750667742928e-10
8.101500000000000000e+03 2.980696276566760013e-10
8.301500000000000000e+03 2.883143123308001433e-10
8.501500000000000000e+03 2.790848661687632871e-10
8.701500000000000000e+03 2.703412912327842593e-10
8.901500000000000000e+03 2.620474753067406066e-10
9.101500000000000000e+03 2.541707599517093886e-10
9.301500000000000000e+03 2.466815414979550248e-10
9.501500000000000000e+03 2.395529361004838371e-10
9.701500000000000000e+03 2.327604609231929008e-10
9.901500000000000000e+03 2.262817891138407430e-10
1.010150000000000000e+04 2.200964817209508461e-10
1.030150000000000000e+04 2.141858739893544653e-10
1.050150000000000000e+04 2.085327619496628876e-10
1.070150000000000000e+04 2.031213479068037526e-10
1.090150000000000000e+04 1.979371602030114278e-10
1.110150000000000000e+04 1.929668208427034903e-10
1.130150000000000000e+04 1.881975309661108852e-10
1.150150000000000000e+04 1.836185822252326767e-10
1.170150000000000000e+04 1.792192269408899600e-10
1.190150000000000000e+04 1.749885377190774738e-10
1.210150000000000000e+04 1.709179206659336211e-10
1.230150000000000000e+04 1.669998767852728231e-10
1.250150000000000000e+04 1.632265024153949801e-10
1.270150000000000000e+04 1.595895893588741216e-10
1.290150000000000000e+04 1.560808358922752446e-10
1.310150000000000000e+04 1.526942052917032872e-10
1.330150000000000000e+04 1.494250117813909088e-10
1.350150000000000000e+04 1.462682930572045988e-10
1.370150000000000000e+04 1.432189158294478610e-10
1.390150000000000000e+04 1.402715609165089258e-10
1.410150000000000000e+04 1.374207475655276170e-10
1.430150000000000000e+04 1.346607502405013512e-10
1.450150000000000000e+04 1.319865091964651882e-10
1.470150000000000000e+04 1.293951213138190716e-10
1.490150000000000000e+04 1.268840324040001617e-10
1.510150000000000000e+04 1.244505355198974641e-10
1.530150000000000000e+04 1.220918352735994950e-10
1.550150000000000000e+04 1.198050410338978853e-10
1.570150000000000000e+04 1.175871699952232510e-10
1.590150000000000000e+04 1.154351506278951439e-10
1.610150000000000000e+04 1.133458245599413506e-10
1.630150000000000000e+04 1.113159523487296390e-10
1.650150000000000000e+04 1.093421981456362843e-10
1.670150000000000000e+04 1.074212620794046671e-10
1.690150000000000000e+04 1.055512031502829004e-10
1.710150000000000000e+04 1.037309142560137803e-10
1.730150000000000000e+04 1.019591962195732233e-10
1.750150000000000000e+04 1.002348152364111723e-10
1.770150000000000000e+04 9.855649023073926259e-11
1.790150000000000000e+04 9.692289872996779331e-11
1.810150000000000000e+04 9.533267799686329569e-11
1.830150000000000000e+04 9.378443582446623808e-11
1.850150000000000000e+04 9.227676540872780618e-11
1.870150000000000000e+04 9.080827544453447425e-11
1.890150000000000000e+04 8.937763790589026511e-11
1.910150000000000000e+04 8.798371643685432394e-11
1.930150000000000000e+04 8.662554065448511387e-11
1.950150000000000000e+04 8.530378952799349686e-11
1.970150000000000000e+04 8.401514903008915578e-11
1.990150000000000000e+04 8.279019916181384469e-11
2.010150000000000000e+04 8.149528827997673660e-11
2.030150000000000000e+04 8.099806207806309977e-11
2.050150000000000000e+04 7.676228233109828574e-11
2.070150000000000000e+04 9.600917934654554461e-11
