# ells, tt
1.015000000000000000e+02 7.409681242048034300e-02
3.015000000000000000e+02 2.132205089496420902e-01
5.015000000000000000e+02 3.324332950232202766e-01
7.015000000000000000e+02 4.691034050832136870e-01
9.015000000000000000e+02 5.885031726574769806e-01
1.101500000000000000e+03 7.023667884366484593e-01
1.301500000000000000e+03 7.940752130669072040e-01
1.501500000000000000e+03 8.723049572242679295e-01
1.701500000000000000e+03 9.402025547220353996e-01
1.901500000000000000e+03 9.776335385228519526e-01
2.101500000000000000e+03 1.009240179452724151e+00
2.301500000000000000e+03 1.037203700746071044e+00
2.501500000000000000e+03 1.065784150757824067e+00
2.701500000000000000e+03 1.096376704738102559e+00
2.901500000000000000e+03 1.127057403657707679e+00
3.101500000000000000e+03 1.141552001727328625e+00
3.301500000000000000e+03 1.143624812211626818e+00
3.501500000000000000e+03 1.148226366678485766e+00
3.701500000000000000e+03 1.164692090869245078e+00
3.901500000000000000e+03 1.179612895273484785e+00
4.101500000000000000e+03 1.192150954392504403e+00
4.301500000000000000e+03 1.196519252574162362e+00
4.501500000000000000e+03 1.200867937114335593e+00
4.701500000000000000e+03 1.204030805009023375e+00
4.901500000000000000e+03 1.208937249830865257e+00
5.101500000000000000e+03 1.215094920430579872e+00
5.301500000000000000e+03 1.220926071656355028e+00
5.501500000000000000e+03 1.226640677847255390e+00
5.701500000000000000e+03 1.230189093758510932e+00
5.901500000000000000e+03 1.232931993304470675e+00
6.101500000000000000e+03 1.232976027933618823e+00
6.301500000000000000e+03 1.232478706145505365e+00
6.501500000000000000e+03 1.233074995682403641e+00
6.701500000000000000e+03 1.234575826134619136e+00
6.901500000000000000e+03 1.235879014034066525e+00
7.101500000000000000e+03 1.237113383421780677e+00
7.301500000000000000e+03 1.238386339553511073e+00
7.501500000000000000e+03 1.238854269047019230e+00
7.701500000000000000e+03 1.235940165666608248e+00
7.901500000000000000e+03 1.232729208308813940e+00
8.101500000000000000e+03 1.229487078689020185e+00
8.301500000000000000e+03 1.226170162707633349e+00
8.501500000000000000e+03 1.222795815430575361e+00
8.701500000000000000e+03 1.219322035434459828e+00
8.901500000000000000e+03 1.215710495090690291e+00
9.101500000000000000e+03 1.212049144123855671e+00
9.301500000000000000e+03 1.208319156949477780e+00
9.501500000000000000e+03 1.204610925381573105e+00
9.701500000000000000e+03 1.199795856195648769e+00
9.901500000000000000e+03 1.194094640946692820e+00
1.010150000000000000e+04 1.192708811142267900e+00
1.030150000000000000e+04 1.190926411410613728e+00
1.050150000000000000e+04 1.188882378058381928e+00
1.070150000000000000e+04 1.186840449413696152e+00
1.090150000000000000e+04 1.184755118061810331e+00
1.110150000000000000e+04 1.182635961834188842e+00
1.130150000000000000e+04 1.180482644342290000e+00
1.150150000000000000e+04 1.178296365654898148e+00
1.170150000000000000e+04 1.176078891530879744e+00
1.190150000000000000e+04 1.173826676621016807e+00
1.210150000000000000e+04 1.171566649128774174e+00
1.230150000000000000e+04 1.169136768198016929e+00
1.250150000000000000e+04 1.166252236609426784e+00
1.270150000000000000e+04 1.163350024144218064e+00
1.290150000000000000e+04 1.160418071353707115e+00
1.310150000000000000e+04 1.157459343964467813e+00
1.330150000000000000e+04 1.154474150894697182e+00
1.350150000000000000e+04 1.151463265982029638e+00
1.370150000000000000e+04 1.148427248398157685e+00
1.390150000000000000e+04 1.145367223826714076e+00
1.410150000000000000e+04 1.142280968231915717e+00
1.430150000000000000e+04 1.139185104766290868e+00
1.450150000000000000e+04 1.135988327599343872e+00
1.470150000000000000e+04 1.133311682388092656e+00
1.490150000000000000e+04 1.131616987965108123e+00
1.510150000000000000e+04 1.129830044445224502e+00
1.530150000000000000e+04 1.128038043494427711e+00
1.550150000000000000e+04 1.126226060200020695e+00
1.570150000000000000e+04 1.124397250884850541e+00
1.590150000000000000e+04 1.122551517814439848e+00
1.610150000000000000e+04 1.120689321623986823e+00
1.630150000000000000e+04 1.118811007716729256e+00
1.650150000000000000e+04 1.116916930941612485e+00
1.670150000000000000e+04 1.115007436232703375e+00
1.690150000000000000e+04 1.113082862894463787e+00
1.710150000000000000e+04 1.111143541495649867e+00
1.730150000000000000e+04 1.109189782519904188e+00
1.750150000000000000e+04 1.107221890981715084e+00
1.770150000000000000e+04 1.105240015019085753e+00
1.790150000000000000e+04 1.103244955525399806e+00
1.810150000000000000e+04 1.101233593254939969e+00
1.830150000000000000e+04 1.099225180077155972e+00
1.850150000000000000e+04 1.097086070477772957e+00
1.870150000000000000e+04 1.094756831381865192e+00
1.890150000000000000e+04 1.092433973230302779e+00
1.910150000000000000e+04 1.090103751172922131e+00
1.930150000000000000e+04 1.087777178879298701e+00
1.950150000000000000e+04 1.085483414507706801e+00
1.970150000000000000e+04 1.083200071209152737e+00
1.990150000000000000e+04 1.081357529818296026e+00
2.010150000000000000e+04 1.078181135100650501e+00
2.030150000000000000e+04 1.085443746085272609e+00
2.050150000000000000e+04 1.041232693476501936e+00
2.070150000000000000e+04 1.319900191290804603e+00
